id,adress,email,longitude,latitude
0,Safi,entropos_feodora@nohost.com,-9.3007,32.4328
1,Bouskoura,entropos_xongxong@nohost.com,-7.6458,33.4405
2,El Aioun,entropos_ashely@nohost.com,-2.5117,34.7822
3,Essaouira,entropos_cody@nohost.com,-9.7166,31.3967
4,Taroudannt,entropos_isensee@nohost.com,-9.0659,30.3286
5,Mohammedia,entropos_buck@nohost.com,-7.5349,33.6888
6,Skhirate,entropos_shoppel@nohost.com,-7.2281,33.8491
7,El Aioun,entropos_kimbarov@nohost.com,-2.667,34.5786
8,Beni Mellal,entropos_duryonna@nohost.com,-6.4272,32.3435
9,Fes,entropos_cheba@nohost.com,-5.1566,34.2093
10,Tiflet,entropos_dueppen@nohost.com,-6.1585,33.9438
11,Tiflet,entropos_jhingran@nohost.com,-6.1732,33.909
12,Tiflet,entropos_vance@nohost.com,-6.3308,34.0608
13,Zawit Al Bour,entropos_lambregt@nohost.com,-8.2313,30.6915
14,Kenitra,entropos_stahl@nohost.com,-6.5542,34.1639
15,Nador,entropos_nestor@nohost.com,-2.7471,35.2552
16,Oujda-Angad,entropos_reiner@nohost.com,-2.0309,34.7142
17,Oued Zem,entropos_hugel@nohost.com,-6.7179,32.7301
18,Larache,entropos_urs@nohost.com,-6.0266,35.384
19,Bouskoura,entropos_miro@nohost.com,-7.5328,33.3576
20,Tangier,entropos_stiles@nohost.com,-5.8115,35.8897
21,Guercif,entropos_lopez@nohost.com,-3.5432,34.1305
22,Ain El Aouda,entropos_jada@nohost.com,-6.7754,33.7382
23,Marrakech,entropos_jonah@nohost.com,-7.8049,31.7559
24,Sale,entropos_mendorf@nohost.com,-6.9771,34.2493
25,Errachidia,entropos_grego@nohost.com,-4.5083,31.83
26,Kenitra,entropos_mcnichol@nohost.com,-6.5441,34.4231
27,El Jadid,entropos_odessa@nohost.com,-8.418,33.234
28,Tiflet,entropos_norel@nohost.com,-6.3434,33.9225
29,Ouezzane,entropos_szuminsk@nohost.com,-5.496,34.6878
30,Taza,entropos_etoh@nohost.com,-3.8238,34.2648
31,Temara,entropos_danserea@nohost.com,-6.7077,33.8042
32,Temsia,entropos_lipski@nohost.com,-9.5067,30.2421
33,Ain El Aouda,entropos_chubby@nohost.com,-6.8016,33.8055
34,Skhirate,entropos_hariman@nohost.com,-7.0703,33.911
35,Temsia,entropos_shiu-lin@nohost.com,-9.2721,30.4015
36,Zawit Al Bour,entropos_henshaw@nohost.com,-8.1034,30.6963
37,Sidi Slimane,entropos_st.germa@nohost.com,-6.0808,34.3905
38,Boujad,entropos_feisal@nohost.com,-6.3948,32.5827
39,Taza,entropos_viviana@nohost.com,-4.1883,34.0522
40,Ksar El Kebir,entropos_laney@nohost.com,-5.7527,34.9178
41,Marrakech,entropos_seumas@nohost.com,-7.8577,31.4608
42,Warzat,entropos_velasque@nohost.com,-6.739,30.9213
43,Rabat,entropos_florie@nohost.com,-6.7065,33.8317
44,Rabat,entropos_leenher@nohost.com,-6.7779,33.9345
45,El Jadid,entropos_brothert@nohost.com,-8.582,33.1491
46,Jerada,entropos_scurlock@nohost.com,-1.9782,34.4793
47,TanTan,entropos_pelkie@nohost.com,-10.9194,28.2968
48,Skhirate,entropos_joao@nohost.com,-6.9204,33.9605
49,Rabat,entropos_netzke@nohost.com,-7.0334,33.8444
50,Lqoliaa,entropos_liesie@nohost.com,-9.3924,30.4769
