id,ent_origine,client,quantity,delivery_date,shipping_costs,delivery_state
0,30,6972,2.51,2020-8-27,0.0,livre
1,47,3300,5.72,2020-9-8,0.0,livre
2,2,4046,5.86,2020-10-27,0.0,livre
3,34,1459,6.65,2020-11-6,0.0,livre
4,0,7527,6.57,2020-6-7,0.0,livre
5,12,5850,2.56,2020-9-14,0.0,livre
6,21,4221,9.71,2020-7-4,0.0,livre
7,29,1684,8.12,2020-8-18,0.0,livre
8,13,1337,6.99,2020-9-8,0.0,livre
9,1,6171,1.14,2020-6-7,0.0,livre
10,0,7507,7.17,2020-5-14,0.0,livre
11,22,8296,1.39,2020-8-2,0.0,livre
12,24,8717,5.61,2020-2-17,0.0,livre
13,9,3033,2.4,2020-6-20,0.0,livre
14,33,615,1.44,2020-9-29,0.0,livre
15,4,15,2.73,2020-4-16,0.0,livre
16,12,2119,9.01,2020-7-17,0.0,livre
17,20,4745,9.34,2020-8-26,0.0,livre
18,34,2075,6.48,2020-5-31,0.0,livre
19,6,7038,8.23,2020-9-24,0.0,livre
20,39,8802,3.6,2020-10-20,0.0,livre
21,49,2082,7.07,2020-12-1,0.0,en cour
22,3,4886,3.29,2020-11-26,0.0,livre
23,25,3143,8.39,2020-9-17,0.0,livre
24,31,5087,0.17,2020-3-26,0.0,livre
25,10,5444,4.42,2020-11-22,0.0,livre
26,28,8043,4.13,2020-9-5,0.0,livre
27,43,3790,6.39,2020-1-20,0.0,livre
28,38,2171,6.16,2020-9-8,0.0,livre
29,40,7951,5.24,2020-10-14,0.0,livre
30,12,1993,2.78,2020-9-1,0.0,livre
31,15,7193,8.2,2020-8-1,0.0,livre
32,47,3519,0.59,2020-8-4,0.0,livre
33,41,297,7.59,2020-9-25,0.0,livre
34,39,4477,8.34,2020-8-3,0.0,livre
35,23,7499,5.64,2020-2-25,0.0,livre
36,24,7793,4.99,2020-8-6,0.0,livre
37,31,8342,7.3,2020-9-30,0.0,livre
38,7,3822,2.36,2020-9-2,0.0,livre
39,0,1587,0.04,2020-12-4,0.0,en cour
40,29,2199,0.22,2020-2-28,0.0,livre
41,19,3821,1.51,2020-4-14,0.0,livre
42,1,8909,1.57,2020-9-24,0.0,livre
43,2,1458,5.07,2020-9-8,0.0,livre
44,44,2972,2.33,2020-9-2,0.0,livre
45,30,12,3.58,2020-8-31,0.0,livre
46,6,1435,1.3,2020-11-20,0.0,livre
47,30,4291,1.3,2020-1-31,0.0,livre
48,1,6543,4.91,2020-9-7,0.0,livre
49,15,1160,9.0,2020-12-24,0.0,en cour
50,37,822,9.49,2020-2-9,0.0,livre
51,10,8706,1.49,2020-11-26,0.0,livre
52,5,1439,2.38,2020-3-12,0.0,livre
53,48,3654,3.69,2020-5-12,0.0,livre
54,21,5970,9.16,2020-8-27,0.0,livre
55,48,86,0.02,2020-1-8,0.0,livre
56,7,5064,4.26,2020-12-4,0.0,en cour
57,30,1700,3.82,2020-4-5,0.0,livre
58,24,8141,7.93,2020-2-18,0.0,livre
59,34,2651,6.67,2020-12-16,0.0,en cour
60,44,119,8.46,2020-3-17,0.0,livre
61,17,1911,2.8,2020-5-10,0.0,livre
62,24,8246,5.78,2020-1-1,0.0,livre
63,46,4276,5.61,2020-7-23,0.0,livre
64,39,8914,3.03,2020-10-12,0.0,livre
65,44,707,9.05,2020-3-22,0.0,livre
66,13,3543,5.35,2020-6-10,0.0,livre
67,35,7320,4.69,2020-12-29,0.0,en cour
68,25,8734,5.53,2020-5-21,0.0,livre
69,29,1648,4.57,2020-7-15,0.0,livre
